CvsB,CvsT,TvsB,CvsB|CvsT,CvsB|TvsB,CvsT|TvsB,CvsB|CvsT|TvsB
33,203,150,12,205,81,70
114,274,210,32,332,119,2246
117,366,239,54,658,125,3381
238,597,482,58,721,212,4606
250,623,486,88,1144,246,4608
287,624,634,89,1146,286,4703
314,656,645,108,1196,306,5166
320,677,650,111,1539,383,6450
347,688,669,126,1551,420,6588
357,762,760,176,1559,566,7060
417,828,799,178,1776,671,8326
460,866,846,248,2044,759,8483
481,948,847,249,2104,820,8538
491,1048,922,270,2169,929,8788
664,1152,999,288,2173,932,10143
680,1183,1007,291,2250,1053,10216
744,1230,1016,361,2774,1088,10324
753,1271,1032,364,2812,1178,23439
768,1277,1114,374,2893,1360,23676
898,1278,1116,389,3122,1440,53353
969,1298,1140,419,3125,1510,54715
1063,1303,1215,467,3172,1511,56203
1101,1390,1232,477,3651,1608,84417
1129,1436,1258,487,3739,1667,84665
1208,1438,1262,547,3918,1668,91156
1268,1476,1308,551,4010,1758,91734
1288,1513,1363,579,4040,1991,123624
1307,1514,1371,722,4110,2038,134111
1364,1827,1437,729,4626,2039,140458
1382,1880,1469,732,4635,2125,142685
1444,2277,1496,761,4656,2207,285556
1465,2315,1501,779,4900,2212,440503
1521,2327,1594,781,5196,2213,100130086
1577,2346,1733,782,5313,2352,54993.G1
1584,2587,1781,786,5473,2623,4969.G1
1591,2675,1791,797,5989,2786,3119.G3
1672,2752,1831,815,6422,2874,
1735,2766,2035,816,6492,2993,
1740,2822,2057,825,6561,2994,
1755,3479,2203,827,6834,2996,
1760,3604,2214,844,6863,3002,
1804,3613,2255,845,7201,3036,
1815,3890,2328,859,7224,3039,
1828,3976,2570,927,7422,3040,
1836,4015,2627,1036,8076,3042,
1843,4023,2706,1073,8174,3043,
1848,4256,2814,1134,8227,3045,
1956,4322,2815,1149,8339,3047,
1995,4323,2834,1158,8367,3048,
2018,4645,2895,1160,8396,3049,
2020,4774,2897,1180,8446,3108,
2045,5047,3005,1191,8471,3205,
2065,5087,3009,1280,8988,3399,
2066,5209,3012,1285,9052,3543,
2134,5232,3013,1299,9423,3552,
2217,5328,3017,1310,9547,3553,
2220,5649,3034,1311,9560,3557,
2254,5654,3091,1316,9639,3563,
2259,5678,3119,1339,9920,3569,
2335,5798,3127,1388,10594,3757,
2353,5918,3145,1394,10600,3848,
2444,6351,3148,1404,10607,3934,
2543,6364,3375,1410,10686,4051,
2556,6401,3385,1573,10814,4057,
2557,6424,3579,1580,22932,4142,
2558,6515,3620,1607,23440,4232,
2567,6570,3645,1641,23732,4267,
2631,6678,3674,1645,26046,4317,
2657,6696,3727,1646,26063,4321,
2676,7045,3786,1669,27012,4345,
2690,7069,3792,1674,27254,4353,
2700,7079,3817,1690,27328,4602,
2743,7128,3835,1756,29906,4680,
2779,7277,4036,1825,51384,4778,
2835,7345,4153,1832,53905,5273,
2886,7474,4325,1833,53942,5318,
2891,7481,4352,1837,54865,5329,
2898,7857,4481,1844,55287,5346,
2899,8000,4605,1847,55885,5360,
2915,8395,4661,1870,56776,5553,
3061,8645,4695,1907,58493,5648,
3107,8877,4751,1917,63974,5657,
3167,8915,4916,1950,64478,6005,
3238,9074,4988,1958,79143,6006,
3315,9077,5023,1959,79585,6007,
3358,9241,5029,1960,80206,6037,
3680,9507,5145,2027,83539,6279,
3725,10092,5146,2069,83547,6283,
3726,10256,5199,2070,84125,6286,
3736,10610,5345,2151,84189,6347,
3743,10840,5650,2159,84258,6521,
3747,10993,5680,2167,90060,6563,
3758,11024,5698,2170,90527,6606,
3760,11061,5909,2247,91937,6708,
3868,22826,6014,2251,112840,6710,
3872,22874,6036,2258,113146,6781,
3887,23166,6119,2264,114795,6947,
3973,23314,6280,2273,114815,7111,
3983,23508,6288,2318,116729,7504,
4008,23764,6323,2331,121214,7704,
4009,24147,6355,2354,124872,8061,
4097,25994,6387,2593,128240,8218,
4128,26289,6402,2620,130574,8288,
4135,27023,6425,2660,133688,8328,
4208,51087,6447,2668,137970,8972,
4223,51449,6470,2819,138009,8991,
4288,54209,6506,2878,140883,8993,
4327,54532,6536,2888,145270,9717,
4537,54566,6622,2905,146325,9775,
4585,55553,6698,2920,149111,9911,
4617,55600,6860,2921,149563,10054,
4622,56675,6886,2946,152330,10100,
4759,56894,6929,3105,152404,10158,
4808,57412,6941,3123,171019,10321,
4826,57624,6992,3126,219595,10394,
4833,57678,7001,3131,219981,10418,
4883,58191,7025,3158,223075,10562,
4889,63905,7027,3162,256472,10661,
4902,66002,7036,3164,257144,11026,
4915,79190,7148,3170,284434,11043,
4923,80323,7177,3171,285220,11075,
4978,80790,7180,3177,338645,11152,
4985,81327,7389,3191,339967,23505,
4986,81442,7399,3270,340578,23569,
5080,81848,7433,3547,341418,23762,
5083,84034,7516,3576,341883,25893,
5100,85352,8329,3586,344167,27335,
5101,85358,8330,3641,374454,51252,
5167,89822,8331,3694,386617,51312,
5212,90853,8332,3700,389761,51327,
5217,90993,8336,3742,390999,54862,
5239,112817,8337,3767,401498,55003,
5264,114548,8340,3899,403273,55363,
5268,114897,8342,3908,641700,55437,
5306,115701,8343,3988,644943,55466,
5314,116931,8344,3991,653269,55544,
5317,124540,8348,4093,728378,55627,
5332,126432,8349,4094,729475,56955,
5441,127707,8352,4129,100131801,57126,
5443,128372,8354,4137,100132916,58489,
5641,131578,8357,4151,100288520,64757,
5655,133308,8358,4166,100526694,79140,
5673,140597,8359,4239,100526740,80763,
5872,143689,8364,4241,100529251,83715,
5997,144245,8366,4257,100534599,84152,
6000,144453,8368,4306,101927180,84432,
6001,153562,8370,4320,106821730,85329,
6038,158326,8372,4330,124900417,85409,
6167,165257,8392,4593,124900631,85413,
6169,200958,8436,4604,124901165,85569,
6171,203447,8516,4618,124902616,89886,
6173,219432,8553,4619,124902897,146894,
6201,219855,8643,4620,124905330,148534,
6223,221687,8715,4621,124905540,152503,
6229,222166,8735,4624,3117.G1,154664,
6231,253935,8794,4625,3117.G5,253650,
6248,283518,8926,4632,3122.G1,284013,
6273,284439,8969,4633,3123.G4,284207,
6324,286753,8970,4634,3123.G1,284359,
6331,339855,9046,4653,6185.G1,284904,
6369,387763,9152,4654,6048.G2,342510,
6372,388372,9210,4660,3125.G1,342618,
6547,399947,9312,4803,203068.G2,343171,
6549,440695,9388,4842,11035.G1,343172,
6638,653509,9429,4856,55888.G1,344838,
6658,653720,9607,4857,7319.G1,353189,
6660,692094,9787,4886,9746.G1,388125,
6663,727909,9829,4892,28227.G1,388931,
6664,100287284,9914,4919,221527.G4,389337,
6665,100505573,10024,4929,3119.G1,390168,
6716,100507747,10332,4969,7140.G1,390271,
6751,100526737,10690,4982,55750.G1,390431,
6769,100534592,10804,5008,285346.G1,400668,
6854,100885850,10826,5075,200958.G2,401258,
6857,107987425,10842,5077,283685.G1,401399,
6869,114108587,10863,5081,29082.G1,402665,
6887,124900940,10878,5104,3123.G2,439996,
6900,124904063,11005,5105,10038.G1,440603,
6920,124905962,11082,5144,11027.G2,441639,
7031,3109.G1,11163,5179,55644.G1,552891,
7070,79133.G1,11318,5207,11062.G1,728358,
7078,140597.G1,11326,5213,3105.G4,729359,
7113,2550.G1,22895,5222,3115.G5,729956,
7170,6222.G3,23112,5224,11240.G1,100133941,
7173,3106.G2,23209,5236,3133.G3,100527949,
7227,92259.G1,23305,5241,3111.G1,100996928,
7367,7148.G3,23401,5255,6891.G2,102723750,
7401,3107.G4,23608,5260,728841.G1,105378148,
7412,6891.G5,23640,5266,78990.G1,107984142,
7436,124905403.G1,23657,5270,3125.G2,124905651,
7447,8870.G4,23784,5307,65263.G1,11276.G1,
7547,3109.G4,25769,5308,3119.G4,22827.G1,
7568,6348.G2,25834,5320,196883.G1,10537.G3,
7803,342184.G3,25853,5348,3106.G5,27141.G1,
7917,7726.G5,26190,5350,93100.G1,1388.G2,
8029,79092.G1,26245,5413,720.G2,7148.G2,
8165,7148.G5,26499,5455,51016.G1,286077.G1,
8345,1388.G3,26517,5502,5313.G1,79648.G1,
8365,3133.G2,26689,5506,3117.G2,10525.G1,
8549,29.G2,27133,5507,80742.G4,4237.G1,
8626,10723.G1,27177,5522,3123.G3,100506658.G2,
8639,6890.G2,27289,5523,1815.G1,3117.G3,
8748,3113.G6,29106,5549,4585.G1,11234.G1,
8785,4585.G4,30061,5563,5133.G1,23360.G1,
8786,,30062,5565,6941.G6,23061.G1,
8817,,30851,5569,64220.G1,22904.G1,
8852,,51179,5596,25904.G1,2091.G1,
8862,,51270,5742,5987.G3,566.G1,
9033,,51554,5774,94137.G1,55814.G3,
9087,,51629,5837,6288.G1,7156.G1,
9096,,54058,5874,79711.G1,10537.G1,
9104,,54221,5913,94025.G1,55148.G1,
9108,,54921,5950,721.G2,10537.G4,
9148,,54977,5996,,100506658.G1,
9150,,54997,6253,,55072.G1,
9287,,55220,6258,,342184.G2,
9348,,55233,6261,,23569.G1,
9457,,55355,6263,,1669.G1,
9480,,55502,6271,,5875.G1,
9481,,55814,6329,,1991.G1,
9569,,56163,6332,,5830.G1,
9576,,56300,6337,,1667.G1,
9592,,56729,6345,,5657.G1,
9615,,57007,6348,,11026.G3,
9659,,57105,6442,,1069.G1,
9699,,57184,6445,,284323.G1,
9745,,57214,6517,,728340.G2,
9768,,57491,6542,,115817.G1,
9796,,57561,6640,,114791.G1,
9863,,57626,6662,,2786.G1,
9892,,57689,6837,,727909.G2,
9956,,58526,6840,,1002.G1,
10083,,63893,6853,,81490.G1,
10110,,64106,6870,,3120.G7,
10117,,64168,6891,,1668.G1,
10140,,64386,6999,,728358.G1,
10189,,64393,7044,,114118903.G1,
10218,,66008,7068,,6473.G1,
10231,,66035,7103,,8972.G1,
10267,,79000,7125,,53841.G1,
10317,,79094,7134,,4049.G1,
10333,,79310,7135,,11006.G2,
10343,,79853,7138,,,
10461,,79856,7140,,,
10517,,79930,7164,,,
10642,,79955,7169,,,
10647,,80023,7273,,,
10655,,80070,7276,,,
10750,,81027,7291,,,
10867,,81168,7306,,,
10886,,81558,7352,,,
11023,,83259,7538,,,
11036,,83463,7545,,,
11122,,83844,7546,,,
11224,,84106,7705,,,
11240,,84332,7957,,,
22843,,84553,8013,,,
22844,,84628,8048,,,
22924,,84842,8190,,,
22943,,84958,8200,,,
22979,,85235,8325,,,
22987,,85462,8470,,,
22998,,90199,8497,,,
23012,,91074,8513,,,
23281,,92241,8515,,,
23313,,92483,8547,,,
23366,,93978,8557,,,
23414,,114026,8578,,,
23553,,116039,8701,,,
23645,,116173,8736,,,
23743,,116211,8789,,,
23769,,116369,8792,,,
25833,,116379,8854,,,
25841,,117196,8911,,,
26050,,117247,8975,,,
26108,,121599,8987,,,
26150,,123775,9021,,,
26165,,126326,9037,,,
26230,,126549,9068,,,
26533,,126961,9076,,,
26683,,128822,9093,,,
27035,,131368,9098,,,
27039,,135946,9099,,,
27145,,139170,9127,,,
27165,,139728,9172,,,
27199,,140876,9244,,,
28227,,143162,9278,,,
28965,,143241,9370,,,
29974,,144423,9413,,,
30010,,145741,9455,,,
50506,,145942,9469,,,
50509,,146225,9499,,,
50649,,147015,9568,,,
50831,,147700,9572,,,
50859,,150350,9671,,,
50940,,152816,9708,,,
50945,,153579,9729,,,
51059,,155184,9744,,,
51079,,161357,9848,,,
51307,,162466,10003,,,
51454,,166863,10069,,,
51555,,167410,10120,,,
51726,,168391,10123,,,
53842,,196385,10129,,,
53904,,201305,10135,,,
54101,,219539,10149,,,
54463,,220081,10178,,,
54546,,220972,10207,,,
54549,,222487,10249,,,
54714,,222642,10290,,,
54716,,222967,10345,,,
54738,,253012,10349,,,
54798,,255119,10371,,,
55048,,255411,10486,,,
55064,,256302,10500,,,
55117,,258010,10529,,,
55118,,266747,10579,,,
55124,,282966,10580,,,
55151,,283471,10586,,,
55277,,284382,10627,,,
55349,,284422,10715,,,
55422,,284433,10777,,,
55540,,286183,10917,,,
55586,,286749,10930,,,
55777,,317671,10962,,,
55806,,317772,10991,,,
55890,,333932,11072,,,
55911,,338321,11081,,,
56108,,338662,11095,,,
56114,,338879,11107,,,
56256,,339345,11149,,,
56344,,339390,11155,,,
56853,,340146,11174,,,
56896,,340205,11247,,,
56911,,341880,11341,,,
56923,,344905,22856,,,
56944,,346288,22866,,,
57016,,347442,22891,,,
57030,,347468,22997,,,
57451,,349565,22999,,,
57452,,360200,23066,,,
57453,,374355,23109,,,
57481,,374872,23127,,,
57526,,375035,23189,,,
57562,,387496,23242,,,
57582,,388341,23284,,,
57642,,388588,23300,,,
58487,,388698,23336,,,
59335,,389075,23400,,,
59341,,389207,23428,,,
60495,,389336,23461,,,
63827,,389384,23491,,,
63967,,389421,23650,,,
64284,,390148,23678,,,
64641,,390265,25789,,,
64651,,390327,25791,,,
64787,,390443,25802,,,
64850,,390882,25890,,,
64881,,391107,25928,,,
64943,,391109,26032,,,
65998,,391112,26033,,,
66037,,391365,26074,,,
79054,,391714,26232,,,
79173,,391746,26280,,,
79290,,391747,26287,,,
79346,,392138,26353,,,
79589,,401067,26576,,,
79608,,407977,26577,,,
79699,,440689,27063,,,
79750,,441168,27129,,,
79802,,442247,27146,,,
79844,,442444,27198,,,
79898,,494143,27231,,,
79974,,554313,27295,,,
79981,,641455,27330,,,
80000,,642597,27344,,,
80004,,643008,27443,,,
80164,,645369,28513,,,
80267,,646103,28514,,,
80816,,652991,28992,,,
81392,,653641,28999,,,
81849,,653643,29119,,,
83604,,723790,29763,,,
84059,,727832,29765,,,
84171,,729246,29895,,,
84220,,729264,30812,,,
84448,,729627,30819,,,
84467,,730291,50808,,,
84530,,100131439,50937,,,
84570,,100141515,50939,,,
84779,,100302736,51085,,,
84909,,100419780,51207,,,
84944,,100505385,51209,,,
84970,,100506013,51660,,,
85416,,100507341,51666,,,
85477,,100532731,51676,,,
85508,,100533183,51678,,,
90007,,100820829,51725,,,
90332,,101060321,51734,,,
91181,,101060341,51750,,,
91807,,101929601,51776,,,
91894,,101929627,51778,,,
92346,,102723713,51804,,,
93010,,102724813,53342,,,
93649,,105180391,53405,,,
93659,,105373397,53632,,,
94137,,105376714,53834,,,
94160,,105377137,53838,,,
112399,,110806280,54360,,,
112609,,112268317,55089,,,
112703,,112488738,55222,,,
112937,,112488745,55238,,,
114571,,124900286,55273,,,
114786,,124900420,55283,,,
114907,,124900997,55335,,,
116135,,124902531,55344,,,
116255,,124903766,55607,,,
116328,,124904094,55638,,,
118663,,124904200,55827,,,
120406,,124904228,56265,,,
125963,,124905344,56479,,,
126353,,124905479,56704,,,
126374,,124905955,56901,,,
126755,,124908048,57158,,,
128408,,3111.G6,57159,,,
128414,,9535.G1,57188,,,
128954,,7473.G2,57338,,,
130271,,3109.G2,57447,,,
130399,,8227.G1,57465,,,
130733,,4277.G7,57467,,,
132200,,10107.G7,57528,,,
132851,,932.G1,57538,,,
135138,,1870.G1,57571,,,
136259,,89839.G1,57633,,,
136371,,114118903.G2,57644,,,
137902,,2483.G2,57670,,,
138046,,23246.G1,57718,,,
139189,,114821.G1,58473,,,
139411,,3304.G4,58529,,,
140545,,4974.G1,59285,,,
140733,,4901.G1,63924,,,
142686,,3119.G5,63951,,,
144501,,9920.G1,64067,,,
145282,,342184.G1,64091,,,
146395,,2483.G1,64102,,,
148789,,1460.G6,64208,,,
148808,,6203.G7,64328,,,
150483,,63943.G2,64332,,,
150677,,3134.G5,64344,,,
151050,,XLOC_079405,64399,,,
151742,,11026.G2,65249,,,
152519,,8870.G1,65266,,,
153201,,106707243.G1,65268,,,
153657,,100131439.G1,78986,,,
154215,,3304.G1,79007,,,
158471,,6293.G5,79041,,,
158763,,647042.G1,79370,,,
160065,,2550.G4,79442,,,
162461,,1028.G1,79570,,,
162989,,100129278.G1,79739,,,
163183,,196385.G1,79784,,,
164045,,1388.G1,79785,,,
166012,,80741.G2,79870,,,
168002,,3304.G2,79933,,,
169044,,115253422.G1,80263,,,
170302,,,80303,,,
170690,,,80318,,,
171484,,,80760,,,
192668,,,80824,,,
196446,,,81575,,,
196541,,,81706,,,
196951,,,81786,,,
200504,,,81796,,,
200909,,,83552,,,
202151,,,83875,,,
203859,,,83888,,,
219409,,,84033,,,
219578,,,84107,,,
221191,,,84144,,,
221301,,,84618,,,
222584,,,84627,,,
223117,,,84675,,,
245938,,,84676,,,
255189,,,84700,,,
255324,,,84706,,,
255738,,,84792,,,
256148,,,84808,,,
256691,,,84812,,,
257177,,,84929,,,
257194,,,84940,,,
259308,,,85366,,,
260436,,,85457,,,
266722,,,85480,,,
283078,,,90187,,,
284383,,,90523,,,
284402,,,91461,,,
284716,,,91624,,,
285423,,,91977,,,
285888,,,92235,,,
286430,,,92369,,,
286499,,,92370,,,
317761,,,92591,,,
338376,,,92737,,,
338599,,,94030,,,
338667,,,113622,,,
338872,,,114569,,,
339479,,,114805,,,
339829,,,114818,,,
339976,,,114821,,,
340419,,,114880,,,
344901,,,115265,,,
345557,,,115399,,,
346702,,,115572,,,
347475,,,117245,,,
347487,,,117283,,,
347731,,,118461,,,
347736,,,118490,,,
348807,,,118491,,,
348980,,,121340,,,
353238,,,122622,,,
375567,,,122769,,,
387601,,,123103,,,
387718,,,123722,,,
388336,,,126393,,,
388389,,,127018,,,
388581,,,127294,,,
388743,,,127495,,,
388939,,,127665,,,
389332,,,129446,,,
389493,,,130827,,,
389549,,,131377,,,
389762,,,134829,,,
390190,,,135152,,,
390197,,,137735,,,
390594,,,137872,,,
390664,,,139065,,,
392517,,,139221,,,
399693,,,140456,,,
399697,,,140578,,,
400566,,,140862,,,
401036,,,140902,,,
403253,,,142689,,,
414919,,,145501,,,
440051,,,145814,,,
441151,,,146556,,,
442117,,,146802,,,
613227,,,146862,,,
619279,,,147183,,,
642658,,,148113,,,
642987,,,148738,,,
643965,,,149345,,,
644168,,,150094,,,
646603,,,150572,,,
646643,,,151126,,,
646960,,,152573,,,
653082,,,152831,,,
728317,,,153769,,,
728734,,,154091,,,
729665,,,154796,,,
730005,,,157310,,,
100049587,,,157869,,,
100126572,,,161247,,,
100129480,,,162655,,,
100130613,,,163259,,,
100287718,,,163933,,,
100505989,,,164832,,,
100507027,,,165904,,,
100996492,,,166348,,,
100996758,,,167838,,,
101929726,,,171024,,,
102724159,,,196500,,,
102800317,,,200539,,,
104909134,,,201140,,,
105378803,,,201181,,,
106865373,,,201798,,,
107983958,,,202333,,,
107985915,,,206338,,,
107986096,,,219537,,,
107986768,,,220296,,,
107986800,,,221091,,,
110116772,,,221476,,,
110599583,,,221662,,,
112268016,,,222611,,,
115253422,,,222950,,,
122455338,,,245806,,,
122513141,,,246329,,,
124900837,,,252995,,,
124901355,,,253017,,,
124902361,,,254863,,,
124902461,,,255275,,,
124903248,,,255798,,,
124903450,,,256158,,,
124904248,,,257240,,,
124905153,,,257407,,,
124905566,,,282996,,,
124905938,,,283971,,,
124905948,,,284106,,,
124909439,,,284266,,,
124909494,,,284612,,,
134111.G1,,,284723,,,
104909134.G1,,,285525,,,
3119.G2,,,285590,,,
124901866.G1,,,338657,,,
7484.G1,,,339291,,,
4137.G1,,,339456,,,
153562.G1,,,339896,,,
3903.G4,,,340359,,,
7918.G3,,,340543,,,
7173.G1,,,341640,,,
8878.G1,,,342035,,,
116729.G1,,,342132,,,
56911.G1,,,342527,,,
100529144.G1,,,347273,,,
6351.G1,,,347365,,,
5089.G2,,,348174,,,
100506742.G1,,,377007,,,
3812.G24,,,387733,,,
2843.G2,,,387890,,,
3112.G3,,,388531,,,
55890.G1,,,388561,,,
259290.G2,,,389084,,,
10288.G1,,,389125,,,
101059918.G2,,,389257,,,
5345.G1,,,389692,,,
6920.G1,,,392255,,,
4629.G1,,,399668,,,
1394.G1,,,399694,,,
259293.G2,,,400961,,,
2041.G1,,,401138,,,
653720.G2,,,401265,,,
57109.G1,,,414062,,,
10288.G3,,,414152,,,
221527.G1,,,414899,,,
102157402.G1,,,440279,,,
80781.G1,,,441549,,,
255027.G1,,,442721,,,
6362.G2,,,445372,,,
11026.G1,,,492307,,,
3111.G4,,,493829,,,
54535.G5,,,642273,,,
57597.G1,,,642475,,,
,,,643834,,,
,,,644150,,,
,,,646480,,,
,,,646962,,,
,,,653149,,,
,,,727910,,,
,,,729438,,,
,,,729830,,,
,,,730112,,,
,,,100131390,,,
,,,100507537,,,
,,,100507588,,,
,,,100526772,,,
,,,100527978,,,
,,,100529063,,,
,,,100529241,,,
,,,100529257,,,
,,,100532726,,,
,,,100885848,,,
,,,102723407,,,
,,,102724428,,,
,,,105371267,,,
,,,107987462,,,
,,,124188259,,,
,,,124900173,,,
,,,124901231,,,
,,,124904581,,,
,,,124905553,,,
,,,3122.G6,,,
,,,57062.G1,,,
,,,100037417.G1,,,
,,,3122.G5,,,
,,,9788.G1,,,
,,,3117.G6,,,
,,,3107.G3,,,
,,,110354863.G1,,,
,,,3126.G1,,,
,,,5106.G1,,,
,,,6891.G6,,,
,,,6123.G1,,,
,,,9172.G1,,,
,,,3119.G6,,,
,,,285349.G1,,,
,,,25998.G1,,,
,,,80344.G1,,,
,,,3122.G4,,,
,,,3126.G2,,,
,,,57718.G1,,,
,,,7584.G1,,,
,,,1366.G1,,,
,,,321.G2,,,
,,,2017.G1,,,
,,,4137.G2,,,
,,,6050.G1,,,
,,,114823.G2,,,
,,,328.G1,,,
,,,6845.G1,,,
,,,55229.G1,,,
,,,79792.G1,,,
,,,3784.G1,,,
,,,3108.G3,,,
,,,3881.G2,,,
,,,9278.G1,,,
,,,8086.G1,,,
,,,9278.G2,,,
,,,3881.G1,,,
,,,5863.G2,,,
,,,65265.G1,,,
,,,10990.G2,,,
,,,3122.G3,,,
,,,121340.G1,,,
,,,63905.G1,,,
,,,91875.G1,,,
,,,321.G1,,,
,,,3115.G7,,,
,,,4586.G1,,,
,,,50814.G1,,,
,,,54891.G1,,,
,,,6351.G2,,,
,,,388021.G1,,,
,,,104909134.G2,,,
,,,7136.G1,,,
,,,653145.G1,,,
,,,3123.G5,,,
,,,79168.G3,,,
,,,3117.G4,,,
,,,94104.G1,,,
,,,338599.G1,,,
,,,6348.G1,,,
,,,51676.G1,,,
,,,23399.G1,,,
,,,1508.G1,,,
,,,9560.G1,,,
,,,79602.G1,,,
,,,55275.G1,,,
,,,3107.G6,,,
,,,10537.G2,,,
,,,3115.G4,,,
,,,414062.G1,,,
,,,57176.G5,,,
,,,3122.G2,,,
,,,26973.G1,,,
,,,90987.G1,,,
,,,2968.G5,,,
,,,6714.G1,,,
,,,11156.G1,,,
,,,10168.G1,,,
,,,124935.G1,,,
,,,145553.G1,,,
,,,5698.G2,,,
,,,161247.G1,,,
,,,6362.G1,,,
,,,6992.G4,,,
,,,5987.G2,,,
,,,63943.G3,,,
,,,51149.G1,,,
,,,200958.G5,,,
,,,3105.G6,,,
,,,2483.G3,,,
,,,6892.G4,,,
